src_url,vcs,name,web_url,description
https://github.com/redisson/redisson,git,redisson/redisson,,
https://github.com/StackExchange/StackExchange.Redis,git,StackExchange/StackExchange.Redis,,
https://github.com/spring-projects/spring-data-elasticsearch,git,Spring Data Elasticsearch,https://spring.io/projects/spring-data-elasticsearch/,The Spring Data Elasticsearch project provides integration with the Elasticsearch search engine.
https://github.com/gajus/slonik,git,Slonik,,"A PostgreSQL client with strict types, detailed logging and assertions."
https://github.com/elastic/elasticsearch-net,git,Elasticsearch.Net,https://www.elastic.co/guide/en/elasticsearch/client/net-api/current/index.html,Elasticsearch.Net and NEST: the .NET clients
