src_url,vcs,name,web_url,description
https://github.com/apache/airflow,git,Apache Airflow,https://airflow.apache.org/,"Apache Airflow (or simply Airflow) is a platform to programmatically author, schedule, and monitor workflows."
https://github.com/celery/celery,git,Celery,http://celeryproject.org/,"Celery is an asynchronous task queue/job queue based on distributed message passing. It is focused on real-time operation, but supports scheduling as well."
https://github.com/dask/dask,git,Dask,https://dask.org/,"Dask is a flexible library for parallel computing in Python."
https://github.com/apache/incubator-dolphinscheduler,git,DolphinScheduler,https://dolphinscheduler.apache.org/,"A distributed and easy-to-expand visual DAG workflow scheduling system, dedicated to solving the complex dependencies in data processing."
https://github.com/azkaban/azkaban,git,Azkaban,https://azkaban.github.io/,"A batch workflow job scheduler created at LinkedIn to run Hadoop jobs. Azkaban resolves the ordering through job dependencies and provides an easy to use web user interface to maintain and track your workflows."
